Ref,Val,Package,PosX,PosY,Rot,Side
"D1","~","D_SMA",27.940000,-60.960000,-90.000000,top
"D11","~","D_SOD-123",71.120000,-54.610000,0.000000,top
"D12","~","D_SOD-123",71.120000,-27.940000,0.000000,top
"D13","~","D_SOD-123",101.600000,-35.560000,90.000000,top
"D14","~","D_SOD-123",118.110000,-57.150000,0.000000,top
"J1","~","ScrewTerminals_4P",35.560000,-86.360000,90.000000,top
"J2","~","ScrewTerminals_4P",55.880000,-86.360000,90.000000,top
"J3","~","ScrewTerminals_4P",76.200000,-86.360000,90.000000,top
"J4","~","ScrewTerminals_4P",96.520000,-86.360000,90.000000,top
"J5","~","PinSocket_1x02_P2.54mm_Vertical",43.180000,-58.420000,-90.000000,top
"K1","~","Relay_SPDT_SANYOU_SRD_Series_Form_C",78.740000,-58.420000,-90.000000,top
"K2","~","Relay_SPDT_SANYOU_SRD_Series_Form_C",78.740000,-33.020000,-90.000000,top
"K3","~","Relay_SPDT_SANYOU_SRD_Series_Form_C",111.760000,-35.560000,-90.000000,top
"K4","~","Relay_SPDT_SANYOU_SRD_Series_Form_C",111.760000,-60.960000,-90.000000,top
"Q1","~","SOT-23",66.040000,-46.990000,0.000000,top
"Q2","~","SOT-23",55.880000,-40.640000,0.000000,top
"Q3","~","SOT-23",66.040000,-40.640000,0.000000,top
"Q4","~","SOT-23",55.880000,-46.990000,0.000000,top
"R1","4.7k","R_0603_1608Metric",50.800000,-33.020000,180.000000,top
"R4","330","R_0603_1608Metric",35.560000,-58.420000,0.000000,top
"R11","1k","R_0603_1608Metric",62.230000,-45.720000,180.000000,top
"R12","1k","R_0603_1608Metric",52.070000,-39.370000,180.000000,top
"R13","1k","R_0603_1608Metric",62.230000,-39.370000,180.000000,top
"R14","1k","R_0603_1608Metric",52.070000,-45.720000,180.000000,top
"U1","~","PinSocket_1x08_P2.54mm_Vertical",27.940000,-53.340000,90.000000,top
"U2","~","PinSocket_1x08_P2.54mm_Vertical",45.720000,-38.100000,-90.000000,top
"U3","~","PinSocket_1x04_P2.54mm_Vertical",66.040000,-33.070000,-90.000000,top
"U4","~","PinSocket_1x04_P2.54mm_Vertical",58.420000,-53.340000,90.000000,top
"U5","~","PinSocket_1x02_P2.54mm_Vertical",33.020000,-74.168000,0.000000,top
"U6","~","PinSocket_1x02_P2.54mm_Vertical",51.544000,-74.168000,0.000000,top
"U7","~","PinSocket_1x02_P2.54mm_Vertical",51.544000,-63.500000,0.000000,top
"U8","~","PinSocket_1x02_P2.54mm_Vertical",33.020000,-63.500000,0.000000,top
